road_number,min_milepost,max_milepost,county
I10,0,71,La Paz
I10,71,169,Maricopa
I10,169,233,Pinal
I10,233,297,Pima
I10,297,392,Cochise
I15,0,30,Mohave
I17,0,242,Maricopa
I17,242,312,Yavapai
I17,312,350,Coconino
I19,0,49,Santa Cruz
I19,49,110,Pima
I40,0,94,Mohave
I40,94,149,Yavapai
I40,149,251,Coconino
I40,251,308,Navajo
I40,308,360,Apache
I8,0,80,Yuma
I8,80,148,Maricopa
I8,148,180,Pinal
SR101,0,500,Maricopa
SR195,1,27,Yuma
SR202,0,500,Maricopa
SR260,206,243,Yavapai
SR260,243,260,Coconino
SR260,260,282,Gila
SR260,282,292,Coconino
SR260,292,361,Navajo
SR260,361,420,Apache
SR303,103,139,Maricopa
SR51,0,16,Maricopa
SR64,180,250,Coconino
SR69,260,296,Yavapai
SR77,0,30,Santa Cruz
SR77,30,88,Pima
SR77,88,136,Pinal
SR77,136,170,Gila
SR77,342,388,Navajo
SR80,0,500,Cochise
SR85,0,33,Maricopa
SR85,33,80,Pima
SR85,117,155,Maricopa
SR87,114,160,Pinal
SR87,160,223,Maricopa
SR87,223,273,Gila
SR87,273,337,Coconino
SR87,337,406,Navajo
SR89,0,500,Yavapai
SR89A,300,375,Yavapai
SR89A,375,500,Coconino
SR90,289,336,Cochise
SR92,321,355,Cochise
SR95,109,162,La Paz
SR95,162,202,Mohave
SR95,226,250,Mohave
US160,311,359,Coconino
US160,359,410,Navajo
US160,410,480,Apache
US191,0,93,Cochise
US191,93,145,Graham
US191,145,245,Greenlee
US191,245,510,Apache
US60,0,75,La Paz
US60,75,195,Maricopa
US60,195,237,Pinal
US60,237,317,Gila
US60,317,353,Navajo
US60,353,450,Apache
US70,240,272,Gila
US70,272,367,Graham
US70,367,400,Greenlee
US89,0,700,Coconino
US93,0,149,Mohave
US93,149,197,Yavapai
US93,197,200,Maricopa
US95,1,10,La Paz
US95,25,91,Yuma
US95,91,109,La Paz
SR387,0,500,Pinal
SR68,0,500,Mohave
SR202S,0,500,Maricopa
SR188,0,500,Gila
SR86,0,500,Pima