state,location_code,county_name,district_name
CA,"101","Shasta County","Northern Division Redding"
CA,"120","Del Norte County","Crescent City"
CA,"125","Humboldt County","Humboldt"
CA,"126","Mendocino County","Humboldt"
CA,"130","Tehama County","Red Bluff"
CA,"131","Tehama County","Cottonwood Inspection Facility"
CA,"135","Shasta County","Redding"
CA,"140","Lassen County","Susanville"
CA,"145","Siskyou County","Yreka"
CA,"146","Siskyou County","Mt. Shasta"
CA,"147","Siskyou County","Dunsmuir Grade Inspection Facility"
CA,"150","Mendocino County","Ukiah"
CA,"151","Lake County","Clear Lake"
CA,"155","Colusa County","Williams"
CA,"160","Glenn County","Willows"
CA,"165","Plumas County","Quincy"
CA,"170","Modoc County","Atturas"
CA,"175","Trinity County","Trinity River"
CA,"201","Sacramento County","Sacramento"
CA,"214","Sacramento County","Sacramento"
CA,"220","Placer County","Auburn"
CA,"221","Nevada County","Gold Run"
CA,"222","Sierra County","Truckee"
CA,"223","Sierra County","Donner Pass Inspection Facility"
CA,"230","Nevada County","Grass Valley"
CA,"240","Butte County","Oroville"
CA,"241","Butte County","Chico"
CA,"245","El Dorado County","Placerville"
CA,"246","Alpine County","South Lake Tahoe"
CA,"250","Sacramento County","North Sacramento"
CA,"252","Sacramento County","South Sacramento"
CA,"255","Calaveras County","San Andreas"
CA,"260","Sacramento County","East Sacramento"
CA,"265","San Joaquin County","Stockton"
CA,"266","San Joaquin County","Tracy"
CA,"280","Yolo County","Woodland"
CA,"285","Sutter County","Yuba-Sutter"
CA,"295","Amador County","Amador"
CA,"301","Solano County","Vallejo"
CA,"318","San Francisco County","Golden Gate"
CA,"320","Contra Costa County","Contra Costa"
CA,"325","Napa County","Napa  "
CA,"330","San Mateo County","Redwood City"
CA,"335","San Francisco County","San Francisco"
CA,"340","Santa Clara County","San Jose"
CA,"345","Alameda County","Hayward"
CA,"347","Alameda County","Nimitz Inspection Facility"
CA,"350","Marin County","Marin"
CA,"360","Sonoma County","Santa Rosa"
CA,"365","Solano County","Solano"
CA,"366","Solano County","Cordelia Inspection Facility"
CA,"370","Alameda County","Oakland"
CA,"375","Alameda County","Castro Valley"
CA,"390","Alameda County","Dublin"
CA,"391","Alameda County","Misson Grade Inspection Facility"
CA,"401","Fresno County","Fresno"
CA,"420","Kern County","Bakersfield"
CA,"424","Kern County","Grapevine Inspecition Facility"
CA,"425","Tuolumne County","Sonora"
CA,"426","Kern County","Buttonwillow"
CA,"430","Kern County","Fort Tejon"
CA,"435","Fresno County","Fresno"
CA,"440","Kings County","Hanford"
CA,"450","Madera County","Madera"
CA,"455","Mariposa County","Mariposa"
CA,"456","Madera County","Oakhurst"
CA,"460","Merced County","Merced"
CA,"461","Merced County","Los Banos"
CA,"464","Merced County","Chowchilla River Inspection Facility"
CA,"465","Stanislaus County","Modesto"
CA,"480","Tulare County","Visalia"
CA,"481","Tulare County","Porterville"
CA,"495","Frenso County","Coalinga"
CA,"501","Los Angeles County","Los Angeles"
CA,"514","Los Angeles County","Los Angeles Communications Center"
CA,"525","Los Angeles County","Baldin Park"
CA,"530","Los Angeles County","South Los Angeles"
CA,"535","Los Angeles County","East Los Angeles"
CA,"540","Los Angeles County","Newhall"
CA,"541","Los Angeles County","Castaic Inspection Facility"
CA,"545","Los Angeles County","Antelope Valley"
CA,"550","Los Angeles County","Santa Fey Springs"
CA,"565","Los Angeles County","West Los Angeles"
CA,"575","Los Angeles County","Attadena"
CA,"580","Los Angeles County","West Valley"
CA,"590","Los Angeles County","Central Los Angeles"
CA,"601","San Diego County","San Diego"
CA,"618","San Diego County","Border"
CA,"620","Imperial County","Winterhaven"
CA,"625","Imperial County","El Centro"
CA,"626","Imperial County","Calexico Inspection Facility"
CA,"630","San Diego County","Indio"
CA,"645","San Diego County","San Diego"
CA,"646","San Diego County","Otay Mesa Inspection Facility"
CA,"650","San Diego County","Oceanside"
CA,"651","San Diego County","San Onofre Inspection Facility"
CA,"655","Riverside County","San Gorgonio"
CA,"656","Riverside County","Desert Hills Inspection Facility"
CA,"660","Riverside County","Blythe"
CA,"670","Orange County","Westminster"
CA,"675","Orange County","Santa Ana"
CA,"676","Orange County","Orange County"
CA,"680","San Diego County","El Cajon"
CA,"685","Riverside Coujnty","Temecula"
CA,"686","Riverside Coujnty","Rainbow Inspection Facility"
CA,"690","Orange County","Capistrano"
CA,"701","Santa Barbera County","San Luis Obispo"
CA,"720","Santa Cruz County","Santa Cruz"
CA,"725","San Benito County","Hollister-Gilroy"
CA,"726","San Benito County","Gilroy Inspection Facility"
CA,"730","Monterey County","Monterey"
CA,"735","Monterey County","King City"
CA,"740","San Luis Obispo County","Templeton"
CA,"745","San Luis Obispo County","San Luis Obispo"
CA,"750","Santa Barbera County","Santa Maria"
CA,"755","Santa Barbera County","Buelton"
CA,"760","Santa Barbera County","Santa Barbara"
CA,"765","Santa Barbera County","Ventura"
CA,"770","Santa Barbera County","Moorpark"
CA,"771","Santa Barbera County","Conejo Inspection Facility"
CA,"801","San Bernardino County","San Bernadino"
CA,"818","San Bernardino County","Inland"
CA,"820","Mono County","Bridgeport"
CA,"825","Inyo County","Bishop"
CA,"830","Kern County","Mojave"
CA,"834","San Bernardino County","Needles"
CA,"835","San Bernardino County","Barstow"
CA,"840","Riverside County","Riverside"
CA,"850","San Bernardino County","Victorville"
CA,"855","San Bernardino County","Rancho Cucamonga"
CA,"860","San Bernardino County","San Bernadino"
CA,"865","San Bernardino County","Arrowhead"
CA,"870","San Bernardino County","Morongo Basin"